outcome,date,age_group,unvaccinated_rate,vaccinated_rate,boosted_rate,crude_vaccinated_ratio,crude_boosted_ratio,age_adjusted_unvaccinated_rate,age_adjusted_vaccinated_rate,age_adjusted_boosted_rate,age_adjusted_vaccinated_ratio,age_adjusted_boosted_ratio,population_unvaccinated,population_vaccinated,population_boosted,outcome_unvaccinated,outcome_vaccinated,outcome_boosted,age_group_min,age_group_max
Hospitalizations,2023-10-07,All,4.4,2.1,3.8,2.1,1.2,4.6,3.1,2.5,1.5,1.8,522040,860669.0,1041205.0,23,18.0,40.0,999,999
Hospitalizations,2023-02-11,18-29,7.8,2.3,2.5,3.4,3.1,0.0,0.0,0.0,0.0,0.0,77378,213351.0,161644.0,6,5.0,4.0,18,29
Deaths,2022-03-12,05-Nov,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104915,86398.0,0.0,0,0.0,0.0,5,11
Cases,2023-09-02,Dec-17,50.4,37.0,26.9,1.4,1.9,0.0,0.0,0.0,0.0,0.0,31774,86575.0,44595.0,16,32.0,12.0,12,17
Cases,2023-08-12,30-49,47.5,16.5,24.2,2.9,2.0,0.0,0.0,0.0,0.0,0.0,107297,278401.0,347314.0,51,46.0,84.0,30,49
Hospitalizations,2022-03-12,50-64,6.5,2.8,3.1,2.3,2.1,0.0,0.0,0.0,0.0,0.0,46039,142268.0,222350.0,3,4.0,7.0,50,64
Cases,2023-06-03,50-64,42.6,7.2,21.5,5.9,2.0,0.0,0.0,0.0,0.0,0.0,32855,125745.0,246913.0,14,9.0,53.0,50,64
Deaths,2022-07-09,All,0.3,0.1,0.6,3.0,0.5,0.3,0.3,0.4,0.9,0.7,627781,862137.0,997177.0,2,1.0,6.0,999,999
Hospitalizations,2023-09-09,All,4.7,2.9,6.5,1.6,0.7,5.5,3.8,4.3,1.4,1.3,526704,860292.0,1040817.0,25,25.0,68.0,999,999
Deaths,2021-09-11,65-79,10.8,2.1,0.0,5.1,0.0,0.0,0.0,0.0,0.0,0.0,64570,194208.0,0.0,7,4.0,0.0,65,79
Cases,2022-02-12,0-4,131.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,162642,0.0,0.0,214,0.0,0.0,0,4
Cases,2023-02-11,05-Nov,146.1,168.2,160.4,0.9,0.9,0.0,0.0,0.0,0.0,0.0,91730,82035.0,21195.0,134,138.0,34.0,5,11
Hospitalizations,2023-03-11,05-Nov,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91381,82312.0,21210.0,0,0.0,0.0,5,11
Deaths,2021-08-07,50-64,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96770,316026.0,0.0,3,0.0,0.0,50,64
Cases,2022-01-08,18-29,2593.8,1568.9,1486.1,1.7,1.7,0.0,0.0,0.0,0.0,0.0,128651,256042.0,83774.0,3337,4017.0,1245.0,18,29
Deaths,2023-02-11,50-64,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34058,125536.0,246859.0,0,0.0,1.0,50,64
Hospitalizations,2023-09-02,50-64,18.6,3.2,3.2,5.8,5.8,0.0,0.0,0.0,0.0,0.0,32314,125722.0,246940.0,6,4.0,8.0,50,64
Cases,2022-09-03,0-4,115.0,1.8,0.0,63.9,0.0,0.0,0.0,0.0,0.0,0.0,162642,0.0,0.0,187,3.0,0.0,0,4
Cases,2022-10-08,0-4,45.5,7.4,0.0,6.1,0.0,0.0,0.0,0.0,0.0,0.0,162642,0.0,0.0,74,12.0,0.0,0,4
Cases,2021-11-06,All,183.3,73.4,24.9,2.5,7.4,205.8,60.6,21.5,3.4,9.6,953486,1465628.0,120427.0,1748,1076.0,30.0,999,999
Hospitalizations,2021-04-10,30-49,17.6,1.6,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,455598,123661.0,0.0,80,2.0,0.0,30,49
Cases,2023-08-05,0-4,24.6,2.5,0.0,9.8,0.0,0.0,0.0,0.0,0.0,0.0,162642,0.0,0.0,40,4.0,0.0,0,4
Cases,2022-06-11,50-64,423.6,155.6,238.1,2.7,1.8,0.0,0.0,0.0,0.0,0.0,42493,131079.0,238179.0,180,204.0,567.0,50,64
Deaths,2023-07-08,50-64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32640,125730.0,246931.0,0,0.0,0.0,50,64
Deaths,2022-06-11,50-64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42493,131079.0,238179.0,0,0.0,0.0,50,64
Deaths,2023-11-11,Dec-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31541,86509.0,44696.0,0,0.0,0.0,12,17
Hospitalizations,2023-04-01,0-4,1.8,0.6,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,162642,0.0,0.0,3,1.0,0.0,0,4
Hospitalizations,2022-04-02,All,2.7,1.6,1.3,1.7,2.1,3.3,1.8,0.9,1.8,3.5,657870,901409.0,932489.0,18,14.0,12.0,999,999
Deaths,2022-12-10,80+,8.0,0.0,2.1,0.0,3.8,0.0,0.0,0.0,0.0,0.0,24925,11373.0,47104.0,2,0.0,1.0,80,200
Cases,2022-08-06,30-49,312.0,163.2,238.8,1.9,1.3,0.0,0.0,0.0,0.0,0.0,126294,278159.0,343405.0,394,454.0,820.0,30,49
Cases,2023-11-11,18-29,79.9,20.4,16.0,3.9,5.0,0.0,0.0,0.0,0.0,0.0,68798,215294.0,162511.0,55,44.0,26.0,18,29
Deaths,2022-11-12,50-64,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36564,125287.0,246697.0,0,1.0,0.0,50,64
Cases,2022-01-01,80+,1063.3,1662.4,638.4,0.6,1.7,0.0,0.0,0.0,0.0,0.0,27932,20693.0,35560.0,297,344.0,227.0,80,200
Deaths,2022-05-07,50-64,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43830,134524.0,233206.0,0,0.0,1.0,50,64
Cases,2023-07-01,18-29,6.7,5.1,11.1,1.3,0.6,0.0,0.0,0.0,0.0,0.0,74266,214137.0,161703.0,5,11.0,18.0,18,29
Deaths,2022-07-02,80+,3.8,8.2,2.2,0.5,1.7,0.0,0.0,0.0,0.0,0.0,26451,12179.0,45911.0,1,1.0,1.0,80,200
Deaths,2023-02-04,65-79,2.5,0.0,0.6,0.0,4.2,0.0,0.0,0.0,0.0,0.0,40248,43385.0,171692.0,1,0.0,1.0,65,79
Cases,2021-06-05,65-79,36.6,6.7,0.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,76606,179075.0,0.0,28,12.0,0.0,65,79
Deaths,2023-06-03,18-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74734,214134.0,161695.0,0,0.0,0.0,18,29
Hospitalizations,2021-04-10,All,17.6,3.0,0.0,5.9,0.0,21.9,1.8,0.0,12.0,0.0,1707958,396727.0,0.0,300,12.0,0.0,999,999
Hospitalizations,2023-07-01,50-64,9.2,0.0,0.4,0.0,23.0,0.0,0.0,0.0,0.0,0.0,32676,125733.0,246928.0,3,0.0,1.0,50,64
Deaths,2023-07-08,05-Nov,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90204,82670.0,21257.0,0,0.0,0.0,5,11
Cases,2022-11-05,50-64,333.4,90.2,124.9,3.7,2.7,0.0,0.0,0.0,0.0,0.0,36895,125268.0,246677.0,123,113.0,308.0,50,64
Hospitalizations,2022-09-03,05-Nov,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95528,82574.0,16920.0,0,0.0,0.0,5,11
Hospitalizations,2022-01-01,80+,365.2,444.6,106.9,0.8,3.4,0.0,0.0,0.0,0.0,0.0,27932,20693.0,35560.0,102,92.0,38.0,80,200
Deaths,2022-01-08,All,14.4,5.8,2.2,2.5,6.5,20.0,7.7,1.2,2.6,17.0,771844,1058475.0,641998.0,111,61.0,14.0,999,999
Cases,2021-12-04,Dec-17,685.6,103.4,0.0,6.6,0.0,0.0,0.0,0.0,0.0,0.0,58493,105452.0,0.0,401,109.0,0.0,12,17
Hospitalizations,2022-12-10,0-4,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,162642,0.0,0.0,5,0.0,0.0,0,4
Hospitalizations,2022-03-12,05-Nov,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104915,86398.0,0.0,0,0.0,0.0,5,11
Cases,2021-11-06,65-79,123.9,58.1,16.7,2.1,7.4,0.0,0.0,0.0,0.0,0.0,58116,160017.0,41816.0,72,93.0,7.0,65,79
Hospitalizations,2023-08-05,0-4,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,162642,0.0,0.0,4,0.0,0.0,0,4
Deaths,2022-08-06,All,0.7,0.2,0.2,3.5,3.5,0.8,0.4,0.1,2.0,6.3,614334,850591.0,1014163.0,4,2.0,2.0,999,999
Hospitalizations,2023-11-04,Dec-17,0.0,0.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31567,86534.0,44661.0,0,0.0,1.0,12,17
Hospitalizations,2021-04-10,Dec-17,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,177522,0.0,0.0,4,0.0,0.0,12,17
Cases,2023-10-07,30-49,41.0,18.7,23.6,2.2,1.7,0.0,0.0,0.0,0.0,0.0,104936,278564.0,347458.0,43,52.0,82.0,30,49
Hospitalizations,2022-01-08,50-64,355.8,76.7,32.3,4.6,11.0,0.0,0.0,0.0,0.0,0.0,54811,194317.0,160841.0,195,149.0,52.0,50,64
Cases,2023-03-04,50-64,192.4,65.3,95.6,2.9,2.0,0.0,0.0,0.0,0.0,0.0,33780,125603.0,246874.0,65,82.0,236.0,50,64
Deaths,2021-05-01,30-49,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,365119,238588.0,0.0,7,0.0,0.0,30,49
Cases,2022-06-11,0-4,173.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,162642,0.0,0.0,282,0.0,0.0,0,4
Cases,2022-01-01,50-64,3677.7,1686.1,1009.6,2.2,3.6,0.0,0.0,0.0,0.0,0.0,56937,206986.0,147279.0,2094,3490.0,1487.0,50,64
Deaths,2021-12-04,Dec-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58493,105452.0,0.0,0,0.0,0.0,12,17
Deaths,2022-01-08,80+,136.6,108.8,24.3,1.3,5.6,0.0,0.0,0.0,0.0,0.0,27814,19309.0,37045.0,38,21.0,9.0,80,200
Cases,2021-10-09,50-64,193.6,52.8,0.0,3.7,0.0,0.0,0.0,0.0,0.0,0.0,77460,331279.0,0.0,150,175.0,0.0,50,64
Deaths,2022-07-02,18-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93769,214617.0,155854.0,0,0.0,0.0,18,29
Deaths,2022-11-05,18-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83590,212234.0,161534.0,0,0.0,0.0,18,29
Deaths,2022-10-08,65-79,2.3,2.3,0.6,1.0,3.8,0.0,0.0,0.0,0.0,0.0,43949,43409.0,171395.0,1,1.0,1.0,65,79
